Start City,End City,Route 1,Cost 1,Time 1,Route 2,Cost 2,Time 2,Route 3,Cost 3,Time 3,Route 4,Cost 4,Time 4,Route 5,Cost 5,Time 5
Chennai,Chittorgarh,Chennai(road)Chittorgarh,82.00,2.95,Chennai(rail)Agra(rail)Chittorgarh,97.00,9.12,Chennai(road)Chatrapur(road)Chittorgarh,103.00,9.79,Chennai(rail)Ranebennur(rail)Chittorgarh,112.00,9.67,Chennai(rail)Himmatnagar(rail)Chittorgarh,113.00,8.94
Chennai,Ratnagiri,Chennai(air)Ratnagiri,489.00,1.53,Chennai(rail)Ranebennur(road)Ratnagiri,95.00,5.70,Chennai(rail)Surajpur(road)Ratnagiri,98.00,5.62,Chennai(road)Medinipur(rail)Ratnagiri,111.00,6.23,Chennai(rail)Haringhata(road)Ratnagiri,113.00,12.73
Chennai,Goregaon,Chennai(rail)Goregaon,103.00,2.98,Chennai(rail)Ranebennur(rail)Goregaon,103.00,9.00,Chennai(rail)Sardarshahar(road)Goregaon,109.00,10.26,Chennai(rail)Mumbai(rail)Goregaon,112.00,10.17,Chennai(rail)Ambernath(road)Goregaon,119.00,9.96
Chennai,Pindwara,Chennai(road)Pindwara,151.00,2.10,Chennai(rail)Ranebennur(rail)Pindwara,87.00,8.84,Chennai(rail)Sardarshahar(rail)Pindwara,93.00,9.74,Chennai(rail)Ambernath(rail)Pindwara,98.00,11.01,Chennai(rail)Mumbai(road)Pindwara,100.00,8.06
Chennai,Raipur,Chennai(road)Raipur,64.00,2.53,Chennai(rail)Mumbai(rail)Raipur,103.00,7.94,Chennai(road)Chatrapur(rail)Raipur,104.00,12.06,Chennai(road)Kollam(rail)Raipur,110.00,8.91,Chennai(rail)Kushtagi(road)Raipur,117.00,8.00
Chennai,Gokak,Chennai(road)Gokak,159.00,2.09,Chennai(rail)Kushtagi(rail)Gokak,86.00,7.33,Chennai(rail)Sardarshahar(rail)Gokak,105.00,9.48,Chennai(rail)Malerkotla(rail)Gokak,109.00,10.27,Chennai(rail)Surajpur(road)Gokak,112.00,7.11
Chennai,Lucknow,Chennai(air)Lucknow,178.00,2.65,Chennai(rail)Ambernath(rail)Lucknow,90.00,9.46,Chennai(road)Medinipur(rail)Lucknow,92.00,8.22,Chennai(road)Chatrapur(rail)Lucknow,94.00,11.31,Chennai(rail)Mumbai(road)Lucknow,99.00,10.65
Chennai,Delhi,Chennai(air)Delhi,387.00,2.55,Chennai(rail)Agra(rail)Delhi,101.00,9.15,Chennai(rail)Mumbai(rail)Delhi,105.00,10.51,Chennai(rail)Surajpur(rail)Delhi,106.00,5.85,Chennai(road)Kollam(rail)Delhi,109.00,8.83
Chennai,Mumbai,Chennai(air)Mumbai,144.00,1.42,Chennai(rail)Ambernath(rail)Mumbai,86.00,11.23,Chennai(rail)Surajpur(rail)Mumbai,87.00,9.24,Chennai(rail)Meerut(rail)Mumbai,96.00,7.88,Chennai(road)Patan(rail)Mumbai,99.00,9.10
Chennai,Sagar,Chennai(air)Sagar,101.00,2.05,Chennai(rail)Ranebennur(road)Sagar,97.00,8.87,Chennai(rail)Ambernath(rail)Sagar,111.00,10.89,Chennai(road)Medinipur(rail)Sagar,118.00,5.38,Chennai(road)Chatrapur(rail)Sagar,119.00,12.64
Chennai,Jalpaiguri,Chennai(air)Jalpaiguri,299.00,2.68,Chennai(rail)Sardarshahar(rail)Jalpaiguri,88.00,10.10,Chennai(rail)Ambernath(road)Jalpaiguri,102.00,11.35,Chennai(rail)Surajpur(road)Jalpaiguri,110.00,6.26,Chennai(road)Raipur(rail)Jalpaiguri,113.00,7.85
Chennai,Pakur,Chennai(road)Pakur,171.00,2.52,Chennai(rail)Sardarshahar(rail)Pakur,104.00,11.76,Chennai(road)Patan(rail)Pakur,108.00,8.58,Chennai(rail)Surendranagar(rail)Pakur,111.00,10.14,Chennai(rail)Haringhata(rail)Pakur,112.00,12.49
