Start City,End City,Route 1,Cost 1,Time 1,Route 2,Cost 2,Time 2,Route 3,Cost 3,Time 3,Route 4,Cost 4,Time 4,Route 5,Cost 5,Time 5
Chennai,Chittorgarh,Chennai(road)Chittorgarh,82.00,2.64,Chennai(rail)Mumbai(rail)Chittorgarh,90.00,10.28,Chennai(rail)Malerkotla(road)Chittorgarh,96.00,9.80,Chennai(rail)Rasayani(road)Chittorgarh,111.00,8.74,Chennai(rail)Durg(road)Chittorgarh,111.00,9.21
Chennai,Ratnagiri,Chennai(rail)Malerkotla(rail)Ratnagiri,86.00,10.60,Chennai(rail)Mumbai(rail)Ratnagiri,90.00,9.43,Chennai(rail)Rasayani(rail)Ratnagiri,100.00,13.26,Chennai(rail)Ratnagiri,103.00,2.66,Chennai(rail)Karaikal(rail)Ratnagiri,114.00,10.02
Chennai,Goregaon,Chennai(rail)Goregaon,64.00,6.11,Chennai(rail)Suri(rail)Goregaon,92.00,5.59,Chennai(road)Surajpur(rail)Goregaon,113.00,5.31,Chennai(rail)Jadugora(rail)Goregaon,114.00,7.66,Chennai(road)Bhubaneswar(rail)Goregaon,115.00,5.45
Chennai,Pindwara,Chennai(road)Pindwara,98.00,2.80,Chennai(rail)Mumbai(rail)Pindwara,101.00,11.29,Chennai(rail)Durg(rail)Pindwara,103.00,13.22,Chennai(rail)Suri(road)Pindwara,109.00,7.94,Chennai(road)Haringhata(rail)Pindwara,116.00,12.09
Chennai,Raipur,Chennai(rail)Raipur,84.00,6.09,Chennai(road)Ramanagara(rail)Raipur,93.00,9.23,Chennai(rail)Pakur(road)Raipur,97.00,8.39,Chennai(rail)Jadugora(road)Raipur,108.00,7.22,Chennai(rail)Karaikal(rail)Raipur,115.00,8.84
Chennai,Gokak,Chennai(road)Gokak,66.00,2.05,Chennai(road)Ramanagara(rail)Gokak,112.00,8.51,Chennai(road)Orai(rail)Gokak,118.00,11.13,Chennai(rail)Mumbai(road)Gokak,120.00,8.11,Chennai(road)Himmatnagar(rail)Gokak,122.00,8.79
Chennai,Lucknow,Chennai(rail)Lucknow,68.00,3.01,Chennai(rail)Suri(road)Lucknow,102.00,6.06,Chennai(rail)Pakur(rail)Lucknow,103.00,9.34,Chennai(rail)Karaikal(road)Lucknow,104.00,9.14,Chennai(rail)Mahuva(rail)Lucknow,109.00,12.48
Chennai,Delhi,Chennai(rail)Delhi,86.00,3.86,Chennai(rail)Rasayani(rail)Delhi,98.00,11.21,Chennai(rail)Durg(rail)Delhi,104.00,12.09,Chennai(rail)Goregaon(rail)Delhi,109.00,11.30,Chennai(rail)Jadugora(road)Delhi,110.00,6.58
Chennai,Mumbai,Chennai(rail)Mumbai,47.00,4.67,Chennai(road)Haringhata(rail)Mumbai,91.00,10.35,Chennai(rail)Goregaon(rail)Mumbai,104.00,11.85,Chennai(rail)Huliyar(road)Mumbai,108.00,8.84,Chennai(rail)Suri(rail)Mumbai,110.00,9.07
Chennai,Sagar,Chennai(rail)Suri(rail)Sagar,93.00,5.60,Chennai(rail)Rasayani(road)Sagar,111.00,10.11,Chennai(rail)Jadugora(road)Sagar,113.00,8.15,Chennai(rail)Durg(road)Sagar,114.00,10.37,Chennai(rail)Malerkotla(road)Sagar,118.00,11.82
Chennai,Jalpaiguri,Chennai(rail)Pakur(rail)Jalpaiguri,93.00,11.42,Chennai(road)Ramanagara(rail)Jalpaiguri,105.00,5.85,Chennai(rail)Jorapokhar(rail)Jalpaiguri,105.00,11.23,Chennai(road)Gokak(road)Jalpaiguri,117.00,6.33,Chennai(rail)Barh(rail)Jalpaiguri,117.00,10.81
Chennai,Pakur,Chennai(rail)Pakur,45.00,4.69,Chennai(rail)Malerkotla(road)Pakur,96.00,10.36,Chennai(rail)Mumbai(rail)Pakur,98.00,9.76,Chennai(road)Ramanagara(rail)Pakur,115.00,6.80,Chennai(road)Gokak(rail)Pakur,125.00,8.78
Chennai,Sardarshahar,Chennai(rail)Karaikal(rail)Sardarshahar,105.00,6.01,Chennai(road)Sardarshahar,112.00,4.78,Chennai(rail)Suri(road)Sardarshahar,112.00,7.34,Chennai(rail)Mumbai(rail)Sardarshahar,119.00,10.83,Chennai(rail)Kollam(rail)Sardarshahar,123.00,9.91
Chennai,Sirohi,Chennai(rail)Sirohi,96.00,6.43,Chennai(rail)Durg(rail)Sirohi,99.00,12.50,Chennai(rail)Kollam(rail)Sirohi,114.00,9.87,Chennai(rail)Mumbai(rail)Sirohi,117.00,7.43,Chennai(rail)Malerkotla(rail)Sirohi,118.00,9.44
Chennai,Jaysingpur,Chennai(rail)Rasayani(rail)Jaysingpur,101.00,12.19,Chennai(road)Ramanagara(rail)Jaysingpur,103.00,6.07,Chennai(road)Haringhata(road)Jaysingpur,114.00,9.60,Chennai(rail)Jorapokhar(rail)Jaysingpur,115.00,10.36,Chennai(rail)Jaysingpur,124.00,3.25
Chennai,Ramanagara,Chennai(road)Ramanagara,51.00,3.31,Chennai(rail)Rasayani(road)Ramanagara,100.00,12.63,Chennai(road)Orai(rail)Ramanagara,105.00,11.48,Chennai(road)Haringhata(road)Ramanagara,106.00,10.41,Chennai(rail)Mahuva(road)Ramanagara,123.00,12.20
Chennai,Hyderabad,Chennai(rail)Pakur(road)Hyderabad,97.00,9.21,Chennai(road)Ramanagara(rail)Hyderabad,97.00,7.20,Chennai(rail)Malerkotla(road)Hyderabad,101.00,12.19,Chennai(rail)Jadugora(road)Hyderabad,103.00,9.51,Chennai(rail)Rasayani(road)Hyderabad,103.00,11.39
Chennai,Channapatna,Chennai(rail)Jadugora(rail)Channapatna,82.00,9.89,Chennai(road)Channapatna,90.00,3.43,Chennai(road)Ramanagara(rail)Channapatna,102.00,7.38,Chennai(rail)Rasayani(rail)Channapatna,105.00,11.70,Chennai(rail)Pakur(rail)Channapatna,107.00,11.38
Chennai,Surendranagar,Chennai(road)Surendranagar,92.00,3.60,Chennai(rail)Huliyar(road)Surendranagar,103.00,8.40,Chennai(road)Surajpur(rail)Surendranagar,104.00,7.31,Chennai(rail)Rasayani(rail)Surendranagar,111.00,11.26,Chennai(rail)Suri(road)Surendranagar,111.00,8.14
Chennai,Thiruvalla,Chennai(rail)Mumbai(rail)Thiruvalla,87.00,10.39,Chennai(rail)Jorapokhar(rail)Thiruvalla,101.00,11.11,Chennai(rail)Mettur(rail)Thiruvalla,120.00,7.21,Chennai(road)Himmatnagar(rail)Thiruvalla,122.00,8.54,Chennai(rail)Pakur(rail)Thiruvalla,123.00,8.01
Chennai,Ranebennur,Chennai(rail)Malerkotla(rail)Ranebennur,88.00,10.82,Chennai(rail)Durg(rail)Ranebennur,98.00,11.12,Chennai(rail)Suri(road)Ranebennur,107.00,5.08,Chennai(rail)Jorapokhar(rail)Ranebennur,112.00,11.27,Chennai(rail)Goregaon(road)Ranebennur,122.00,11.15
Chennai,Karaikal,Chennai(rail)Karaikal,54.00,3.15,Chennai(road)Ramanagara(rail)Karaikal,91.00,6.58,Chennai(rail)Huliyar(rail)Karaikal,96.00,9.02,Chennai(rail)Jorapokhar(rail)Karaikal,102.00,8.50,Chennai(road)Orai(rail)Karaikal,104.00,11.30
Chennai,Belgaum,Chennai(road)Ramanagara(rail)Belgaum,107.00,9.00,Chennai(rail)Rasayani(road)Belgaum,113.00,9.31,Chennai(rail)Karaikal(rail)Belgaum,117.00,8.44,Chennai(road)Bhubaneswar(rail)Belgaum,118.00,5.13,Chennai(rail)Mettur(rail)Belgaum,125.00,8.19
Chennai,Chatrapur,Chennai(road)Ramanagara(rail)Chatrapur,96.00,9.86,Chennai(rail)Mumbai(rail)Chatrapur,102.00,9.87,Chennai(road)Orai(rail)Chatrapur,105.00,8.09,Chennai(rail)Chatrapur,108.00,6.31,Chennai(rail)Jadugora(road)Chatrapur,110.00,7.39
Chennai,Suri,Chennai(rail)Suri,52.00,3.01,Chennai(rail)Durg(rail)Suri,97.00,11.53,Chennai(road)Ramanagara(road)Suri,117.00,8.29,Chennai(rail)Malerkotla(road)Suri,119.00,10.41,Chennai(road)Haringhata(rail)Suri,122.00,8.66
Chennai,Bhubaneswar,Chennai(road)Bhubaneswar,70.00,2.49,Chennai(rail)Pakur(rail)Bhubaneswar,89.00,9.78,Chennai(rail)Karaikal(rail)Bhubaneswar,95.00,8.57,Chennai(rail)Malerkotla(rail)Bhubaneswar,100.00,11.52,Chennai(rail)Goregaon(rail)Bhubaneswar,108.00,12.92
Chennai,Mahuva,Chennai(rail)Mahuva,55.00,6.75,Chennai(rail)Malerkotla(rail)Mahuva,90.00,10.99,Chennai(road)Haringhata(road)Mahuva,110.00,9.51,Chennai(rail)Rasayani(road)Mahuva,111.00,12.43,Chennai(road)Ramanagara(road)Mahuva,117.00,7.95
Chennai,Jagadhri,Chennai(rail)Jagadhri,79.00,3.34,Chennai(rail)Karaikal(rail)Jagadhri,101.00,9.22,Chennai(rail)Huliyar(rail)Jagadhri,119.00,11.58,Chennai(rail)Goregaon(rail)Jagadhri,119.00,8.68,Chennai(rail)Suri(road)Jagadhri,123.00,7.43
