Start City,End City,Route 1,Cost 1,Time 1,Route 2,Cost 2,Time 2,Route 3,Cost 3,Time 3,Route 4,Cost 4,Time 4,Route 5,Cost 5,Time 5
Chennai,Chittorgarh,Chennai(rail)Chittorgarh,126.00,2.72,Chennai(rail)Raipur(rail)Chittorgarh,93.00,9.75,Chennai(road)Mumbai(rail)Chittorgarh,98.00,8.44,Chennai(rail)Patan(road)Chittorgarh,99.00,9.31,Chennai(rail)Harihar(rail)Chittorgarh,101.00,13.03
Chennai,Ratnagiri,Chennai(air)Ratnagiri,376.00,1.62,Chennai(rail)Patan(rail)Ratnagiri,102.00,9.76,Chennai(rail)Vizianagaram(rail)Ratnagiri,109.00,10.47,Chennai(road)Mumbai(rail)Ratnagiri,109.00,7.62,Chennai(road)Kollam(rail)Ratnagiri,111.00,11.25
Chennai,Goregaon,Chennai(rail)Goregaon,173.00,2.55,Chennai(road)Jadugora(rail)Goregaon,115.00,11.72,Chennai(road)Gokak(rail)Goregaon,126.00,9.78,Chennai(rail)Harihar(rail)Jadugora(rail)Goregaon,135.00,20.68,Chennai(road)Mumbai(rail)Goregaon,138.00,8.06
Chennai,Pindwara,Chennai(air)Thiruvalla(road)Pindwara,262.00,4.37,Chennai(rail)Huliyar(rail)Pindwara,99.00,11.19,Chennai(rail)Pindwara,104.00,6.39,Chennai(road)Mumbai(road)Pindwara,114.00,4.82,Chennai(rail)Sirohi(rail)Pindwara,116.00,10.83
Chennai,Raipur,Chennai(air)Raipur,483.00,2.65,Chennai(road)Jadugora(rail)Raipur,109.00,11.56,Chennai(road)Lucknow(road)Raipur,120.00,7.45,Chennai(road)Mahuva(rail)Raipur,121.00,6.71,Chennai(road)Surajpur(rail)Raipur,124.00,11.77
Chennai,Gokak,Chennai(air)Ratnagiri(road)Gokak,508.00,3.64,Chennai(road)Gokak,60.00,5.58,Chennai(road)Lucknow(road)Gokak,113.00,6.84,Chennai(road)Mahuva(road)Gokak,117.00,5.29,Chennai(rail)Sirohi(road)Gokak,127.00,10.41
Chennai,Lucknow,Chennai(air)Lucknow,239.00,3.03,Chennai(rail)Sirohi(rail)Lucknow,94.00,13.13,Chennai(rail)Raipur(rail)Lucknow,111.00,9.77,Chennai(rail)Patan(rail)Lucknow,114.00,10.71,Chennai(road)Ratnagiri(rail)Lucknow,122.00,8.13
Chennai,Delhi,Chennai(air)Delhi,407.00,1.69,Chennai(rail)Raipur(rail)Delhi,100.00,11.66,Chennai(rail)Vizianagaram(road)Delhi,118.00,10.08,Chennai(rail)Patan(rail)Delhi,125.00,10.00,Chennai(road)Bhusawal(road)Delhi,126.00,7.54
Chennai,Mumbai,Chennai(road)Mumbai,54.00,2.80,Chennai(rail)Harihar(road)Mumbai,98.00,9.50,Chennai(rail)Huliyar(rail)Mumbai,99.00,8.61,Chennai(road)Gokak(rail)Mumbai,105.00,9.19,Chennai(road)Bhusawal(rail)Mumbai,110.00,10.64
Chennai,Sagar,Chennai(air)Ratnagiri(air)Sagar,501.00,2.72,Chennai(road)Sagar,76.00,4.83,Chennai(rail)Harihar(road)Sagar,109.00,11.49,Chennai(road)Mumbai(rail)Sagar,124.00,9.48,Chennai(rail)Patan(rail)Sagar,125.00,9.36
